,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,FB,GOOGL,TSLA,AAPL,AMZN,FB,GOOGL,TSLA,AAPL,AMZN,FB,GOOGL,TSLA,AAPL,AMZN,FB,GOOGL,TSLA,AAPL,AMZN,FB,GOOGL,TSLA,AAPL,AMZN,FB,GOOGL,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-04,24.36453628540039,636.989990234375,102.22000122070312,759.4400024414062,44.68199920654297,26.337499618530273,636.989990234375,102.22000122070312,759.4400024414062,44.68199920654297,26.342500686645508,657.719970703125,102.23999786376953,762.2000122070312,46.2760009765625,25.5,627.510009765625,99.75,747.5399780273438,43.79999923706055,25.65250015258789,656.2899780273438,101.94999694824219,762.2000122070312,46.14400100708008,270597600,9314500,37912400,3369100,34135500
2016-01-05,23.753976821899414,633.7899780273438,102.7300033569336,761.530029296875,44.68600082397461,25.677499771118164,633.7899780273438,102.7300033569336,761.530029296875,44.68600082397461,26.462499618530273,646.9099731445312,103.70999908447266,769.2000122070312,45.37799835205078,25.602500915527344,627.6500244140625,101.66999816894531,755.6500244140625,44.0,26.4375,646.8599853515625,102.88999938964844,764.0999755859375,45.27199935913086,223164000,5822600,23258200,2260800,15934000
2016-01-06,23.28911590576172,632.6500244140625,102.97000122070312,759.3300170898438,43.80799865722656,25.174999237060547,632.6500244140625,102.97000122070312,759.3300170898438,43.80799865722656,25.592500686645508,639.7899780273438,103.7699966430664,765.72998046875,44.0099983215332,24.967500686645508,620.3099975585938,100.9000015258789,748.0,43.19599914550781,25.139999389648438,622.0,101.12999725341797,750.3699951171875,44.0,273829600,5329200,25096200,2410300,18895500
2016-01-07,22.30620765686035,607.9400024414062,97.91999816894531,741.0,43.130001068115234,24.112499237060547,607.9400024414062,97.91999816894531,741.0,43.130001068115234,25.032499313354492,630.0,101.43000030517578,755.3099975585938,43.6879997253418,24.107500076293945,605.2100219726562,97.30000305175781,735.280029296875,42.73400115966797,24.670000076293945,621.7999877929688,100.5,746.489990234375,42.8380012512207,324377600,7074900,45172900,3156600,17771500
2016-01-08,22.42415428161621,607.0499877929688,97.33000183105469,730.9099731445312,42.20000076293945,24.239999771118164,607.0499877929688,97.33000183105469,730.9099731445312,42.20000076293945,24.77750015258789,624.1400146484375,100.5,750.1199951171875,44.0880012512207,24.190000534057617,606.0,97.02999877929688,728.9199829101562,42.15399932861328,24.637500762939453,619.6599731445312,99.87999725341797,747.7999877929688,43.571998596191406,283192000,5512900,35402300,2375300,18140500
2016-01-11,22.78725814819336,617.739990234375,97.51000213623047,733.0700073242188,41.56999969482422,24.63249969482422,617.739990234375,97.51000213623047,733.0700073242188,41.56999969482422,24.764999389648438,619.8499755859375,98.5999984741211,735.0800170898438,42.88999938964844,24.334999084472656,598.5700073242188,95.38999938964844,719.5599975585938,40.599998474121094,24.74250030517578,612.47998046875,97.91000366210938,731.9500122070312,42.801998138427734,198957600,4891600,29932400,2544800,20457000
2016-01-12,23.11797523498535,617.8900146484375,99.37000274658203,745.3400268554688,41.99399948120117,24.989999771118164,617.8900146484375,99.37000274658203,745.3400268554688,41.99399948120117,25.172500610351562,625.989990234375,99.95999908447266,748.3400268554688,42.74800109863281,24.709999084472656,612.239990234375,97.55000305175781,736.4299926757812,41.0620002746582,25.137500762939453,625.25,99.0,740.75,42.31999969482422,196616800,4724100,28395400,2340800,15459500
2016-01-13,22.523605346679688,581.8099975585938,95.44000244140625,719.5700073242188,40.0620002746582,24.34749984741211,581.8099975585938,95.44000244140625,719.5700073242188,40.0620002746582,25.297500610351562,620.8800048828125,100.58000183105469,753.0,42.529998779296875,24.325000762939453,579.1599731445312,95.20999908447266,716.780029296875,40.0,25.079999923706055,620.8800048828125,100.58000183105469,749.3400268554688,42.402000427246094,249758400,7655200,33410600,2586400,20632000
